1,'n02119789',"'kit fox, Vulpes macrotis'",'small grey fox of southwestern United States; may be a subspecies of Vulpes velox',0,[],0,1300
2,'n02100735','English setter','an English breed having a plumed tail and a soft silky coat that is chiefly white',0,[],0,1300
3,'n02110185','Siberian husky','breed of sled dog developed in northeastern Siberia; they resemble the larger Alaskan malamutes',0,[],0,1300
4,'n02096294','Australian terrier','small greyish wire-haired breed of terrier from Australia similar to the cairn',0,[],0,1300
5,'n02102040',"'English springer, English springer spaniel'",'a breed having typically a black-and-white coat',0,[],0,1300
6,'n02066245',"'grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus'",'medium-sized greyish-black whale of the northern Pacific',0,[],0,1150
7,'n02509815',"'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens'",'reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas',0,[],0,1300
8,'n02124075','Egyptian cat','a domestic cat of Egypt',0,[],0,1300
9,'n02417914',"'ibex, Capra ibex'",'wild goat of mountain areas of Eurasia and northern Africa having large recurved horns',0,[],0,1300
10,'n02123394','Persian cat','a long-haired breed of cat',0,[],0,1300
11,'n02125311',"'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor'",'large American feline resembling a lion',0,[],0,1300
12,'n02423022','gazelle','small swift graceful antelope of Africa and Asia having lustrous eyes',0,[],1,1300
13,'n02346627',"'porcupine, hedgehog'",'relatively large rodents with sharp erectile bristles mingled with the fur',0,[],2,1300
14,'n02077923','sea lion','any of several large eared seals of the northern Pacific related to fur seals but lacking their valuable coat',0,[],1,1300
15,'n02110063',"'malamute, malemute, Alaskan malamute'",'breed of sled dog developed in Alaska',0,[],0,1300
16,'n02447366','badger','sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere',0,[],1,1300
17,'n02109047','Great Dane','very large powerful smooth-coated breed of dog',0,[],0,1300
18,'n02089867',"'Walker hound, Walker foxhound'",'an American breed of foxhound',0,[],0,1025
19,'n02102177','Welsh springer spaniel','a red-and-white breed slightly smaller than the English springer spaniel',0,[],0,1300
20,'n02091134','whippet','small slender dog of greyhound type developed in England',0,[],0,1300
21,'n02092002',"'Scottish deerhound, deerhound'",'very large and tall rough-coated dog bred for hunting deer; known as the royal dog of Scotland',0,[],0,1300
22,'n02071294',"'killer whale, killer, orca, grampus, sea wolf, Orcinus orca'",'predatory black-and-white toothed whale with large dorsal fin; common in cold seas',0,[],0,1300
23,'n02442845','mink','slender-bodied semiaquatic mammal having partially webbed feet; valued for its fur',0,[],1,1300
24,'n02504458',"'African elephant, Loxodonta africana'",'an elephant native to Africa having enormous flapping ears and ivory tusks',0,[],0,1300
25,'n02092339','Weimaraner','large breed of hound having a smooth greyish coat; originated in Germany',0,[],0,1300
26,'n02098105','soft-coated wheaten terrier','Irish breed of medium-sized terrier with an abundant coat any shade of wheat and very hairy head and muzzle',0,[],0,1300
27,'n02096437',"'Dandie Dinmont, Dandie Dinmont terrier'",'a breed of small terrier with long wiry coat and drooping ears',0,[],0,1156
28,'n02114712',"'red wolf, maned wolf, Canis rufus, Canis niger'",'reddish-grey wolf of southwestern North America',0,[],0,1300
29,'n02105641',"'Old English sheepdog, bobtail'",'''large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation o...'' <Preview truncated at 128 characters>',0,[],0,1300
30,'n02128925',"'jaguar, panther, Panthera onca, Felis onca'",'''a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Feli...'' <Preview truncated at 128 characters>',0,[],0,1300
31,'n02091635',"'otterhound, otter hound'",'hardy British hound having long pendulous ears and a thick coarse shaggy coat with an oily undercoat; bred for hunting otters',0,[],0,738
32,'n02088466',"'bloodhound, sleuthhound'",'a breed of large powerful hound of European origin having very acute smell and used in tracking',0,[],0,1300
33,'n02096051',"'Airedale, Airedale terrier'",'breed of large wiry-coated terrier bred in Yorkshire',0,[],0,1300
34,'n02117135',"'hyena, hyaena'",'doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion',0,[],1,1300
35,'n02138441',"'meerkat, mierkat'",'a mongoose-like viverrine of South Africa having a face like a lemur and only four toes',0,[],1,1300
36,'n02097130','giant schnauzer','a large schnauzer',0,[],0,1300
37,'n02493509',"'titi, titi monkey'",'small South American monkeys with long beautiful fur and long nonprehensile tail',0,[],0,1300
38,'n02457408',"'three-toed sloth, ai, Bradypus tridactylus'",'a sloth that has three long claws on each forefoot and each hindfoot',0,[],0,1300
39,'n02389026','sorrel','a horse of a brownish orange to light brown color',0,[],0,1300
40,'n02443484',"'black-footed ferret, ferret, Mustela nigripes'",'musteline mammal of prairie regions of United States; nearly extinct',0,[],0,1300
41,'n02110341',"'dalmatian, coach dog, carriage dog'",'a large breed having a smooth white coat with black or brown spots; originated in Dalmatia',0,[],1,1300
42,'n02089078','black-and-tan coonhound','American breed of large powerful hound dogs used for hunting raccoons and other game',0,[],0,732
43,'n02086910','papillon','small slender toy spaniel with erect ears and a black-spotted brown to white coat',0,[],0,1300
44,'n02445715',"'skunk, polecat, wood pussy'",'''American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separ...'' <Preview truncated at 128 characters>',0,[],1,1300
45,'n02093256',"'Staffordshire bullterrier, Staffordshire bull terrier'",'English breed of strong stocky dog having a broad skull and smooth coat',0,[],0,1300
46,'n02113978','Mexican hairless','any of an old breed of small nearly hairless dogs of Mexico',0,[],0,755
47,'n02106382',"'Bouvier des Flandres, Bouviers des Flandres'",'rough-coated breed used originally in Belgium for herding and guarding cattle',0,[],0,1300
48,'n02441942','weasel','small carnivorous mammal with short legs and elongated body and neck',0,[],2,1300
49,'n02113712','miniature poodle','a breed of small poodles',0,[],0,1300
50,'n02113186',"'Cardigan, Cardigan Welsh corgi'",'slightly bowlegged variety of corgi having rounded ears and a long tail',0,[],0,1300
51,'n02105162','malinois','fawn-colored short-haired sheepdog',0,[],0,1300
52,'n02415577',"'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis'",'wild sheep of mountainous regions of western North America having massive curled horns',0,[],0,1300
53,'n02356798',"'fox squirrel, eastern fox squirrel, Sciurus niger'",'exceptionally large arboreal squirrel of eastern United States',0,[],0,1206
54,'n02488702',"'colobus, colobus monkey'",'arboreal monkey of western and central Africa with long silky fur and reduced thumbs',0,[],1,1300
55,'n02123159','tiger cat','a cat having a striped coat',0,[],0,1300
